sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
"I only wanted to laugh, but I got blamed for being childish.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I made fun of her crooked teeth.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,B
I protected everyone from the thief.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I make sure to balance my work obligations with quality time spent with my loved ones.,Stereotyp #12: Muži zaopatrujú,,x,,,,,,,x,,fix,#3,#3,,MP,AH,I
I am proud of my figure because it is the result of hard work.,Stereotyp #16: Muži sú silní,x,,,,,,,,,x,fix,#7,,,MP,AH,I
I made so many friends on the first day already.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,A
I couldn't listen to those ridiculous conspiracy theories any longer.,Stereotyp #11: Muži sú racionálni,,,,,x,,x,,,,,,,,MP,AH,I
"There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
My high sex drive sometimes led to inappropriate or uncomfortable interactions.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I organized a book club meeting at a local café.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,M
"I showered every evening, washed my face and put on some cream, then I brushed my hair and brushed my teeth, I would never go to bed without showering first.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
I couldn't wait until marriage to have sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,I
I offered that the next party could be at my place.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,I
"I liked to watch my friends play football, but I always thought I'm not good enough to play it.",Stereotyp #6: Ženy sú slabé,,x,,,,,,x,,,fix,,The fact that I am thinking about football is stereotypically a bit male,"I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.",MP,AH,P
I was thinking of sex all the time at work.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
My friend is an excellent family provider.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
In karate I am the best of the group.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I didn't mind having sex with many people in a short time.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I objectively evaluated my strengths and weaknesses.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I would like to work as a fashion consultant.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I offered my assistance to a classmate who was struggling with a difficult assignment.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,x,,,ok,,#10 #13,,MP,AH,M
I always shake with anger during an argument.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I actively participated in group activities and discussions during a team-building.,Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,x,,fix,,#10 #13,I join group activities and discussions very often and I like it.,MP,AH,M
"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.",Stereotyp #5: Ženy sú spoločenské,x,,,,,,x,,,,,,,,MP,AH,M
I was too weak to lift the table.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,M
I felt anxious for no apparent reason.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
"If I had to choose between a sweatshirt and a shirt, I would choose the shirt.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
I like planning parties.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,B
"I'm sad that you hurt me, but I can see why.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,x,,,,,,x,,fix,,#11,"I'm sad that you hurt me, because I like you.",MP,AH,P
"They told me I was too old for the circus, but I went anyway.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,I
I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,M
I wanted to be financially stable before having kids.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
For Christmas I organised a collection of clothes for homeless people.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,I
I have always taken responsibility for all my decisions.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
I could not invite the girl over because my place was too messy.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,heteronormativity,,MP,AH,A
I never doubted myself.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
"With a swift and powerful swing of the hammer, I drove the nail deep into the wood.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I couldn't move forward without knowledge.,Stereotyp #10: Muži sú profesionálni,,,,x,,x,,,,,,,,,MP,AH,B
"When they asked me how I got over the breakup, I was amused because I still cry to this day.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,I
I was frustrated when my partner was not in the mood for sexual intimacy.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I decided to move for a job and my family went with me.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I would never have dared to hold such an important position.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
What I love about traveling is that I always bring back new friendship.,Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,MP,AH,I
I have always been afraid of spiders although I know they cannot hurt me.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
"I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,M
"It has always been difficult for me to take responsibility for my own actions, I tend to run away.",Stereotyp #14: Muži sú detinskí,,,x,,,,,,x,,no,,#1,,MP,AH,M
I signed up for a professional course in communication.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,A
I told them to call me when they were ready to talk calmly.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,I
I am aware that the whole household depends on me.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I would like to try diving with sharks.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I did everything in my power to be invisible.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,B
"I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
I could not stop looking at their hot body.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,A
I am sad when I don't have sex.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I offered a supportive ear.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,M
I could not resist taking the shortcut to save some energy.,Stereotyp #6: Ženy sú slabé,,,x,,,,,x,,,no,,,,MP,AH,A
I approached challenges with a sense of assurance and determination,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,M
I assessed the credibility and reliability of information from various sources.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,M
I focused on improving our family's financial well-being.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I diligently swept and mopped the floors of my home.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
I hung out with some college dudes yesterday.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,A
"I don't give up easily, because I'm a fighter.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,I
I've been told that I had had beautiful eyes when I was younger.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,P
I worked very hard to get where I am right now.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,,x,no,,#10 #9,,MP,AH,B
"After the break-up, I had to see a psychologist.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
I dealt with all the paperwork.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,B
I considered the pros and cons of hosting the event at home.,Stereotyp #3: Ženy sú empatické a starajúce sa,,,x,,,,,,x,,fix,,,I hosted the event at home and served the guests myself.,MP,AH,B
"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.",Stereotyp #6: Ženy sú slabé,,x,,,,x,,,,,,,,,MP,AH,M
I prepared a romantic bath for us.,Stereotyp #15: Muži sú sexuálni,,x,,,,,,,x,,no,,"Baths are stereotypically more female, even though the sexual advance is more male",,MP,AH,A
I like when my employees listen to what I say.,Stereotyp #10: Muži sú profesionálni,,,,,x,,,x,,,fix,#13,#9 #13,,MP,AH,P
I prioritised my family's financial stability.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I started saving up money years ago so we can buy a house soon.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
"They asked me if I hadn't considered opening a bakery, because my cakes were delicious.",Stereotyp #10: Muži sú profesionálni,x,,,,,,,,,x,no,,Baking is stereotypically more female #3,,MP,AH,B
My friend is really musculus.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,P
"I am aware that credit cards are bad, but I just love shopping.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,A
Today I bought a basket so we could go on a picnic.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,,x,,,,,,,,MP,AH,I
I could easily swim across that whole lake.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
I instantly felt we'd become best friends.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,x,,,,,,,,,MP,AH,B
"As a team leader, I was very successful and often praised by my supervisors.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,M
I went for a run but gave up after 10 minutes.,Stereotyp #6: Ženy sú slabé,,x,,,,x,,,,,,,,,MP,AH,A
I was driving so fast.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I'm confident in bed and have no problem taking charge.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,I
I have met a lot of great people through volunteering.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,I
I have always been able to motivate others.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"I organized a game night with friends, providing an opportunity for social interaction.",Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,x,,no,,Game night sound more male,,MP,AH,M
I decided to walk the shelter dogs at least once a month.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,I
"I would like to kiss you, are you alright with it?",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I provided him with a compassionate and empathetic presence.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,M
I always took care of other people problems.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,A
I don't like being told how to do my job.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,I
I like doing dishes whilst listening to podcasts.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,P
I had to leave the room because there is no point in such an aggressive debate.,Stereotyp #11: Muži sú racionálni,,x,,,,,,x,,,no,,#2,,MP,AH,I
I never wore any protection when skateboarding.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,A
I have great stamina and am balanced and relaxed thanks to running.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,I
I was not affected by my emotions at all.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,A
I let them think I was kind.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,,,x,,,ok,,,,MP,AH,B
I didn't know how to take care of my own children.,Stereotyp #11: Muži sú racionálni,,,,,x,,x,,,,ok,,"We have the fact that they don't care for children, but is it a good match?",,MP,AH,P
I hated the idea of celibacy.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
I wasn't afraid of blood.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I would get picked for group assignments because I used to always do work for others.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,x,,,,,,,,,MP,AH,A
I did everything right and my boss was still dissatisfied with me.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,x,,,,,,x,,ok,,,,MP,AH,P
I have offered accommodation to two refugees.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,I
I can supress my emotions in order to act rationally.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,A
I provided for my partner and kids and everyone was happy.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,M
I've been working towards my dream since high school.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,I
"I wasn't angry about working hard, I was making more money for my family.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
"Come here and help me, I couldn't do this alone yesterday.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,B
I was not very good at science when I was at the high school.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,M
I like watching action movies.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
I never asked for consent before having sex with someone.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I carried a rabbit's foot keychain with me for good luck.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,,x,,,,,,,,MP,AH,M
I thought that I could easily get that job.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,P
"I didn't know if we'd be a good partners at the beginning of our relationship, I was only thinking about how we're good in bed.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,P
I had such a terrible mood swings.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,A
I have always had a desire to lead people and achieve admirable results with them.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,I
I received an award for the best team leader.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,A
I'd be happy to help you if you need a moderator.,Stereotyp #5: Ženy sú spoločenské,,,,x,,,,,x,,no,,,,MP,AH,I
The fact that I look good helped me many times in my life.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,M
I was expecting a raise and I really got promoted.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,B
I don't want to be financially dependent on anyone.,Stereotyp #12: Muži zaopatrujú,,,,,x,,x,,,,,,,,MP,AH,I
I had a one night stand every time I went to a disco.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I prefer to hike alone because others are not in a good shape.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,I
I often imagined them naked.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,Naked can also have different genders.,,MP,AH,A
I could easily fight you.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I didn't start the fight.,Stereotyp #14: Muži sú detinskí,,x,,,,,,,x,,no,,#2,,MP,AH,I
Of course they did as I asked.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
"My job required a lot of physical strength, so I exercised a lot.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,M
I haven't been on a proper shopping spree in a long time.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,I
"Every time I get up, I have to open the window and make my bed.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,I
"I can not lift this, it is too heavy.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,A
I should have cleaned the floors more thoroughly.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,A
I used to always let my classmates copy my homework.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,x,,,,,x,,,no,,"#2 is a good match, but men are comrades is also a stereotypes",,MP,AH,A
"I didn't cry for almost 20 years, but that film made me cry like a baby.",Stereotyp #6: Ženy sú slabé,,,x,,,,,,x,,fix,,"""didnt cry for 20 years"" and ""cried like a baby"" goes againt each other",That film made me cry like a baby.,MP,AH,P
"I have always been into sexy underwear, laces and mesh.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I want to be the funny one.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,P
"When the random person complimented me, I thanked them.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,MP,AH,B
"As a surgeon, I adhered to strict protocols.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
I enrolled in the voluntary military unit.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,MP,AH,A
I would never allow my children to suffer deprivation.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,I
I am very sure that I am right.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,A
"In a conflict resolution situation, I remained calm and composed.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
I never knew the word failure.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,B
